Brand,Weight,SoC,CPU,GPU,RAM,Storage,Memory cards,Display,Battery,OS,Camera,SIM card,Wi-Fi,USB,Bluetooth,Positioning,priceUrl,imageUrl,name
10r,170 g,Qualcomm Snapdragon 626 MSM8953 Pro,"ARM Cortex-A53, 2200 MHz, Cores: 8",Qualcomm Adreno 506,"3 GB, 4 GB, 800 MHz","32 GB, 64 GB","microSD, microSDHC, microSDXC","5.5 in, IPS, 1080 x 1920 pixels, 24 bit","4000 mAh, Li-Polymer",Android 7.1.2 Nougat,"4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","Nano-SIM, Nano-SIM / microSD","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"GPS, A-GPS, GLONASS",https://www.devicespecifications.com/en/price/aa9d45f5,https://www.devicespecifications.com/images/model/aa9d45f5/320/main.jpg,G;
10r,150 g,Qualcomm Snapdragon 430 MSM8937,"4x 1.4 GHz ARM Cortex-A53, 4x 1.1 GHz ARM Cortex-A53, Cores: 8",Qualcomm Adreno 505,"2 GB, 3 GB, 800 MHz","16 GB, 32 GB","microSD, microSDHC, microSDXC","5.5 in, IPS, 1080 x 1920 pixels, 24 bit","4000 mAh, Li-Polymer",Android 7.1.2 Nougat,"4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps",Nano-SIM,"b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"GPS, A-GPS",https://www.devicespecifications.com/en/price/26724595,https://www.devicespecifications.com/images/model/26724595/320/main.jpg,E;
10r,189 g,Qualcomm Snapdragon 210 MSM8909,"ARM Cortex-A7, 1100 MHz, Cores: 4","Qualcomm Adreno 304, 400 MHz","2 GB, 533 MHz",16 GB,"microSD, microSDHC, microSDXC","5 in, TFT, 720 x 1280 pixels, 24 bit","4000 mAh, Li-Polymer",Android 6.0 Marshmallow,"3264 x 2448 pixels, 1280 x 720 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",https://www.devicespecifications.com/en/price/4c10447d,https://www.devicespecifications.com/images/model/4c10447d/320/main.jpg,AGM X1 mini;
10r,181 g,Qualcomm Snapdragon 210 MSM8909,"ARM Cortex-A7, 1100 MHz, Cores: 4","Qualcomm Adreno 304, 400 MHz","1 GB, 533 MHz",8 GB,"microSD, microSDHC","5.5 in, IPS, 720 x 1280 pixels, 24 bit","2500 mAh, Li-Polymer",Android 5.1 Lollipop,"2592 x 1944 pixels, 1280 x 720 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",https://www.devicespecifications.com/en/price/ac093f87,https://www.devicespecifications.com/images/model/ac093f87/320/main.jpg,Alcatel Pixi Glory;
360,170 g,Qualcomm Snapdragon 653 MSM8976 Pro,"4x 1.95 GHz ARM Cortex-A72, 4x 1.44 GHz ARM Cortex-A53, Cores: 8",Qualcomm Adreno 510,"6 GB, 933 MHz",64 GB,"microSD, microSDHC, microSDXC","5.5 in, IPS, 1080 x 1920 pixels, 24 bit","3730 mAh, Li-Polymer",360 2.0 (Android 7.1 Nougat),"4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","Nano-SIM, Nano-SIM / microSD","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"GPS, A-GPS, GLONASS, BeiDou",https://www.devicespecifications.com/en/price/d1b4436c,https://www.devicespecifications.com/images/model/d1b4436c/320/main.jpg,N5s;
360,135 g,Spreadtrum SC9832,"ARM Cortex-A7, 1300 MHz, Cores: 4","ARM Mali-400 MP2, 512 MHz, Cores: 2",2 GB,16 GB,"microSD, microSDHC, microSDXC","5 in, IPS, 720 x 1280 pixels, 24 bit","2000 mAh, Li-Polymer",360 2.0 (Android 6.0 Marshmallow),"2592 x 1944 pixels, 1280 x 720 pixels, 30 fps",Nano-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/15614265/320/main.jpg,F5;
360,156 g,Qualcomm Snapdragon 653 MSM8976 Pro,"4x 1.95 GHz ARM Cortex-A72, 4x 1.44 GHz ARM Cortex-A53, Cores: 8",Qualcomm Adreno 510,"6 GB, 933 MHz","32 GB, 64 GB","microSD, microSDHC, microSDXC","5.5 in, IPS, 1080 x 1920 pixels, 24 bit","4000 mAh, Li-Polymer",360 2.0 (Android 6.0 Marshmallow),"4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","Nano-SIM, Nano-SIM / microSD","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"GPS, A-GPS, GLONASS, BeiDou",https://www.devicespecifications.com/en/price/c1bf418d,https://www.devicespecifications.com/images/model/c1bf418d/320/main.jpg,N5;
360,167 g,MediaTek MT6753,"ARM Cortex-A53, 1300 MHz, Cores: 8","ARM Mali-T720 MP3, 450 MHz, Cores: 3","3 GB, 666 MHz",32 GB,"microSD, microSDHC, microSDXC","5.5 in, IPS, 1080 x 1920 pixels, 24 bit","3920 mAh, Li-Ion",360 2.0 (Android 6.0 Marshmallow),"4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","Nano-SIM, Nano-SIM / microSD","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.0,"GPS, A-GPS, GLONASS",,https://www.devicespecifications.com/images/model/a2cb43af/320/main.jpg,F4S;
360,169 g,Qualcomm Snapdragon 625 MSM8953,"ARM Cortex-A53, 2000 MHz, Cores: 8",Qualcomm Adreno 506,"4 GB, 933 MHz",64 GB,"microSD, microSDHC, microSDXC","5.5 in, IPS, 1080 x 1920 pixels, 24 bit","5000 mAh, Li-Polymer",360 2.0 (Android 6.0 Marshmallow),"5312 x 2988 pixels, 1920 x 1080 pixels, 30 fps","Nano-SIM, Nano-SIM / microSD","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.1,"GPS, A-GPS, GLONASS, BeiDou",https://www.devicespecifications.com/en/price/02123f46,https://www.devicespecifications.com/images/model/02123f46/320/main.jpg,N4s 64GB;
360,167 g,MediaTek MT6753,"ARM Cortex-A53, 1300 MHz, Cores: 8","ARM Mali-T720 MP3, 450 MHz, Cores: 3","3 GB, 666 MHz",32 GB,"microSD, microSDHC, microSDXC","5.5 in, IPS, 1080 x 1920 pixels, 24 bit","4020 mAh, Li-Ion",360 2.0 (Android 6.0 Marshmallow),"4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","Nano-SIM, Micro-SIM / microSD","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.0,"GPS, A-GPS, GLONASS",https://www.devicespecifications.com/en/price/e4c63f03,https://www.devicespecifications.com/images/model/e4c63f03/320/main.jpg,N4A;
360,175 g,Qualcomm Snapdragon 820 MSM8996,"2x 2.15 GHz Kryo, 2x 1.6 GHz Kryo, Cores: 4","Qualcomm Adreno 530, 624 MHz","4 GB, 6 GB, 1866 MHz",128 GB,"microSD, microSDHC, microSDXC","6 in, Super AMOLED, 1080 x 1920 pixels, 24 bit","3700 mAh, Li-Ion",360 2.0 (Android 6.0 Marshmallow),"4160 x 3120 pixels, 3840 x 2160 pixels, 30 fps","Nano-SIM, Nano-SIM / microSD","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.1,"GPS, A-GPS, GLONASS, BeiDou",https://www.devicespecifications.com/en/price/c0a43dfa,https://www.devicespecifications.com/images/model/c0a43dfa/320/main.jpg,Q5 Plus;
360,164 g,Qualcomm Snapdragon 652 MSM8976,"4x 1.8 GHz ARM Cortex-A72, 4x 1.4 GHz ARM Cortex-A53, Cores: 8","Qualcomm Adreno 510, 550 MHz","4 GB, 933 MHz",128 GB,"microSD, microSDHC, microSDXC","5.5 in, Super AMOLED, 1080 x 1920 pixels, 24 bit","3200 mAh, Li-Ion",360 2.0 (Android 6.0 Marshmallow),"4160 x 3120 pixels, 3840 x 2160 pixels, 30 fps","Nano-SIM, Nano-SIM / microSD","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.1,"GPS, A-GPS, GLONASS, BeiDou",https://www.devicespecifications.com/en/price/bd153df9,https://www.devicespecifications.com/images/model/bd153df9/320/main.jpg,Q5;
360,169 g,MediaTek Helio X20 (MT6797M),"2x 2.0 GHz ARM Cortex-A72, 4x 1.85 GHz ARM Cortex-A53, 4x 1.4 GHz ARM Cortex-A53","ARM Mali-T880 MP4, 780 MHz, Cores: 4","4 GB, 800 MHz",32 GB,"microSD, microSDHC, microSDXC","5.5 in, IPS, 1080 x 1920 pixels, 24 bit","5000 mAh, Li-Polymer",360 2.0 (Android 6.0 Marshmallow),"5312 x 2988 pixels, 1920 x 1080 pixels, 30 fps","Nano-SIM, Nano-SIM / microSD","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.1,"GPS, A-GPS, GLONASS, BeiDou",https://www.devicespecifications.com/en/price/b1ed3d52,https://www.devicespecifications.com/images/model/b1ed3d52/320/main.jpg,N4s;
